TF,TG,Score
ATF3,CALD1,2899.06
BHLHE40,FBXO32,2886.7
GATA6,NENF,2885.7
PBX1,FBXO32,2884.56
GATA6,RPL5,2883.79
PGR,HSPB2,2882.05
FOS,HAND2,2878.77
MAFF,ACTG2,2873.22
EGR1,USP53,2871.66
AR,PRDX2,2870.49
MAF,TIMP2,2869.43
FOS,PKM,2865.98
EGR1,NENF,2865.07
PGR,NGRN,2863.07
PGR,AKAP12,2859.2
JUN,LDLR,2853.5
HOXA10,HOXA11,2851.52
EGR1,ARPC2,2850.39
MITF,MFAP4,2848.37
PGR,PCBP1,2837.67
EGR1,RHOA,2835.33
TEAD3,ESR1,2833.85
PGR,HTRA1,2832.82
ATF3,BEX2,2831.87
EGR1,ACTN1,2831.52
GATA6,PTGER3,2822.75
MAF,EGR1,2822.7
HOXA10,USP53,2821.13
NFIA,TMEM176A,2815.98
ATF3,FGFR1,2814.35
FOS,ACTN1,2806.48
FOSB,RPL6,2805.09
PGR,MMP14,2803.88
CREM,ADAM12,2801.48
ATF3,GDF15,2800.52
GATA6,ZNF428,2798.27
AR,DTNA,2797.97
MAF,ACTN1,2791.86
PBX1,CNN3,2790.87
AR,CAPZB,2789.13
TCF21,RRAGD,2788.87
JUN,TIMP2,2788.06
PGR,PAFAH1B3,2782.72
PGR,TSPAN9,2779.32
PBX1,FKBP5,2777.65
PGR,ACTB,2777.26
GATA6,FAIM2,2762.89
MITF,NENF,2762.19
EGR1,NFKBIA,2747.79
PGR,ACTN4,2747.41
GATA6,SMOC2,2747.15
AR,COL6A1,2736.32
AR,EIF3F,2732.23
PGR,PRDX2,2730.11
AR,SERPINH1,2730.07
EGR1,NACA,2727.52
ATF3,PRELP,2722.97
ATF3,SPARCL1,2720.27
NFIA,SMOC2,2719.9
AR,HINT1,2712.82
TCF21,COL6A2,2711.38
HOXD11,PRELP,2711.33
HOXA10,TIMP2,2704.78
MEIS2,MRGPRF,2703.87
PGR,EIF3F,2698.36
PGR,GEM,2696.28
AR,PFN1,2694.61
GATA6,RRAGD,2685.46
AR,MYLK,2683.37
AR,TMCC1,2674.24
TCF12,FKBP5,2673.32
PGR,MLPH,2668.62
AR,CNN1,2666.86
GATA6,C1R,2665.63
MITF,FOS,2659.5
PGR,GATA6,2659.05
AR,MMP14,2658.03
PGR,PDLIM4,2655.79
ATF3,ITPKB,2645.59
AR,ZYX,2642.07
ATF3,TCEAL7,2640.56
AR,CCNG1,2639.83
AR,CPE,2636.2
BHLHE40,FXYD6,2635.1
HOXD11,KCNMB1,2628.9
AR,MLPH,2625.8
PGR,SNCAIP,2624.71
HOXA10,WDR1,2623.96
FOSB,FBXO32,2623.12
FOSB,COL1A1,2621.49
TEAD3,FXYD6,2619.45
EGR1,MLLT11,2617.31
JUN,FOSB,2613.31
PGR,COL3A1,2609.3
